,text_id,text,task_1,task_2,task_3
2862,hasoc_en_2863,i told my doctor i cant sleep and he said have sex  ?  ?  ?  ?  come over and fuck me yourself you coward,HOF,HATE,TIN
1873,hasoc_en_1874,This is what Pakistani fans wanna see on th of June !  Their only hope ! ,NOT,NONE,NONE
3921,hasoc_en_3922,It ' s a crime to hit a ONDUTY POLICE OFFICER but it ' s okay to hit a ONDUTY DOCTOR ? ,NOT,NONE,NONE
1123,hasoc_en_1124,"is the political equivalent of getting a tattoo when you ' re drunk ,  seems fun  & amp ;  harmless at the time ,  then it gets embarrassing ,  then annoying and eventually you end up resenting it  & amp ;  realise it ' s going to be very painful to get rid of . ",NOT,NONE,NONE
1610,hasoc_en_1611,I didnt see Molly Mae asking permission from Amy before she asked Curtis out the hypocritical little shit,HOF,PRFN,TIN
1157,hasoc_en_1158,year preparations for this  ? ,NOT,NONE,NONE
2745,hasoc_en_2746,Is there anywhere I can escape this shite ? ,HOF,PRFN,TIN
808,hasoc_en_809,Democrats to Scrutinize Ex - Lobbyists Role in Trumps Arms Sales to Gulf Nations,NOT,NONE,NONE
1292,hasoc_en_1293,"So apparently  %  of the population wouldnt buy a used car from  .  Used car ,  leadership of our country .  .  .  guess all the same really .  Either way ,  were heading for a crash .  .  . ",NOT,NONE,NONE
2507,hasoc_en_2508,Because he thinks he is the presidents lawyer and not the AG for the American People . ,NOT,NONE,NONE
787,hasoc_en_788, .  .  Rain cup .  .  .  Give the cup to England .  .  The decision was made . ,NOT,NONE,NONE
3382,hasoc_en_3383,The best answer to activism .  Get T - Shirts  /  Caps printed with the  & amp ;  distribute among the spectators tomorrow .  Flood the stadium with  . ,NOT,NONE,NONE
1330,hasoc_en_1331,"We are with you dhoni ,  this belongs our emotion towards our nation",NOT,NONE,NONE
753,hasoc_en_754,"themselves the most developed country in the world .  Call Cricket as the national sport of the country .  Yet can ' t cover the grounds during rains in the biggest cricket tournament in the world !  What a great choice for venue ,  London ! ",NOT,NONE,NONE
3922,hasoc_en_3923,youre a disgrace doll hands,HOF,PRFN,TIN
1364,hasoc_en_1365,Who ' s responsible for mounts of  .  .  .  . ,NOT,NONE,NONE
159,hasoc_en_160,"You know what else is crazy is when a murderer has to play the race card to get off  & amp ;  even though everyone knows he did it ,  he claims hes going to find the real killers . ",NOT,NONE,NONE
4366,hasoc_en_4367,The time winner of the popular vote never thought we had states .  Whats funny is that this is all you have .  Whats sad is that trump admitted to that all politicians are as corrupt as he is . ,HOF,HATE,TIN
1335,hasoc_en_1336,The best answer to activism .  Get T - Shirts  /  Caps printed with the  & amp ;  distribute among the spectators tomorrow .  Flood the stadium with  . ,NOT,NONE,NONE
4615,hasoc_en_4616,"Years of hard work to be just worthy of that WHITE COAT .  Instead of saving the publics blood ,  it got stained with MY OWN",HOF,HATE,UNT
4807,hasoc_en_4808,Hes a,HOF,PRFN,TIN
513,hasoc_en_514,we proud of our who never favour any or or  .  .  . ,NOT,NONE,NONE
92,hasoc_en_93,Gabor nails it again .  A voice of reason . ,NOT,NONE,NONE
4541,hasoc_en_4542,you are a  .  God is calling you to repentance .  You will reap what you have sown .  How can you escape damnation ? ,HOF,HATE,TIN
370,hasoc_en_371,Who will win,NOT,NONE,NONE
1427,hasoc_en_1428,Who needs  $  to get that baby in the air  ?  ? ,NOT,NONE,NONE
4269,hasoc_en_4270,Trump administration signals support for uranium mining that could touch Grand Canyon,HOF,PRFN,TIN
5197,hasoc_en_5198,Very simple : ,HOF,OFFN,TIN
4981,hasoc_en_4982,the entire republican party just cheats .  .  they can ' t win without cheating so they ' ll cheat shamelessly,HOF,PRFN,TIN
2545,hasoc_en_2546,Dont the take references ? ,NOT,NONE,NONE
1429,hasoc_en_1430,"people ,  we have to stop this fake activist troll from ruining our movement . ",NOT,NONE,NONE
3593,hasoc_en_3594,They have the time to watch an Indian Army Mark on a players gloves but don ' t have enough time to prepare for the World Cup .  .  .  Shame .  .  . ,NOT,NONE,NONE
5849,hasoc_en_5850,Will  ' The Mad n Irrational Dictator '  Mamata Banerjee listen to Dr .  Harsh Vardhan when she has not picked up telephone calls of Prime Minister and Governor of West Bengal ? ,HOF,OFFN,TIN
1891,hasoc_en_1892,"is the most narcissistic man alive ,  his purposeful ignorance is stunning",HOF,OFFN,TIN
5484,hasoc_en_5485,Congress abusive language towards PM Modi in Parliament is unacceptable .  .  Punish the MP \ n,HOF,OFFN,TIN
1325,hasoc_en_1326,BCCI ne captain ke sivay kishiko bhi wave back karne ko strictly mana Kiya hai .  Due to,NOT,NONE,NONE
3016,hasoc_en_3017,this years i think Rain will be top on chart and we can see it on FINALE also .  . ,HOF,HATE,UNT
5678,hasoc_en_5679,Urgent request .  Please pass ordinance for punishing violence against doctors .  Immediately,HOF,HATE,TIN
4164,hasoc_en_4165,Chris Watts is a jerk who killed his wife and his children then pretended that they were missing .  He fake cried about how he hoped they would return all the while he knew that he killed them . ,HOF,PRFN,TIN
2535,hasoc_en_2536,This is why we need,NOT,NONE,NONE
846,hasoc_en_847,Assault on doctors again in Murshidabad Medical College . ,NOT,NONE,NONE
3276,hasoc_en_3277,Donald is a to The USA not so much to his family because they are all like who makes disgusting statements EVERY single day .  On American or Foreign soil . ,NOT,NONE,NONE
411,hasoc_en_412,can repeat the history .  Its Difficult to beat in their own soil .  All the best to both team .  It will be great fight . ,NOT,NONE,NONE
3927,hasoc_en_3928,"Imitation of a tweet ,  flattery eh ?  .  Have a pic of your BoJo the chimp to brighten your day .  Imagine this as PM ,  Jesus wept .  About the only time he ' s been on the left . ",NOT,NONE,NONE
1583,hasoc_en_1584,Well isn ' t that the pot calling the kettle ZERO CREDIBILITY Maybe if you didn ' t LIE ABOUT EVERYTHING you ' d have an ounce of credibility but we all know you and you will be leaving very soon . ,HOF,HATE,TIN
4174,hasoc_en_4175,"Little ,  whiny just tried to come at me ,  and my post on IG .   .  I hope you all keep fighting the fight .  I certainly am",HOF,HATE,TIN
5448,hasoc_en_5449,"I know  ' demagoguery '  is a big word for you ,  but Cranston was talking about YOU !  ! ",HOF,HATE,TIN
5782,hasoc_en_5783,Terrified of actually being a man of character .  .  . ,NOT,NONE,NONE
2852,hasoc_en_2853,"We ' ve seen the first ladies tits more the has told the truth .  Which ,  yeah isn ' t hard to do when can ' t tell what ' s true af this point . ",HOF,HATE,TIN
3716,hasoc_en_3717,"What up ,  Xi ? ",NOT,NONE,NONE
4825,hasoc_en_4826,I know weather Gods no one can control .  .  . but better planning should have been there  .  .  .  also there was a hue n cry for India playing Pakistan earlier .  .  .  no one officially commented  .  .  .  But God may do his bit  ! ,HOF,HATE,TIN
4639,hasoc_en_4640, ( 1 / 2 )  Rain stops the match ICC  :  we have rain insurance Onto the next match This is what does .  if you can ' t organise Match you must stop calling yourself the apex body and relinquish those rights to someone capable enough like or,HOF,HATE,TIN
2641,hasoc_en_2642,"IMA ponzi scam :  directors arrested ,  over complaints filed",NOT,NONE,NONE
5214,hasoc_en_5215,What that Ive banged more women than you even know ?  Come back when your Shit talking game is on point .  .  .  until then go spend time with your  & amp ;  cuddle up in the corner  & amp ;  cry me a river,HOF,OFFN,TIN
2562,hasoc_en_2563,This is not ok .  At mos .  I was still BF my kids .  This not pro - life . ,NOT,NONE,NONE
3416,hasoc_en_3417,Doctors are the most trusted and respected human beings in the whole world except India .  No political parties saying anything about this because they are learned people and not any party ' s votebank .  Please sir we asked for your response,NOT,NONE,NONE
137,hasoc_en_138, %  APPROVAL TO RESIGN !  !  ! ,NOT,NONE,NONE
3058,hasoc_en_3059,Hairdresser :   ' Lets do a patch test for you to see if you can dye your hair .  '   * applies test behind my ear *   ' Leave it for hours .  '  Me :  hours later .  .   * rubs ear by accident and removes whole patch * ,NOT,NONE,NONE
5594,hasoc_en_5595,Gotta find SOME way to throw a wet blanket on the party huh ? ,HOF,HATE,UNT
1503,hasoc_en_1504,Luke at it again .  Hero . ,NOT,NONE,NONE
3882,hasoc_en_3883,Bandy X .  Lee on  :   ' His state of mind has been steadily for some time '   | ,NOT,NONE,NONE
4125,hasoc_en_4126,East Turkestan In Seconds,HOF,OFFN,TIN
2372,hasoc_en_2373, .  oh hey its a  ' tough guy '  with a badge assaulting citizens for no reason,NOT,NONE,NONE
2134,hasoc_en_2135,"Donald ,  you went on TV and admitted that you would readily take help from foreign sources to win elections .  You are GUILTY of collusion !  The Steele Dossier was paid for and instituted by Republicans . ",NOT,NONE,NONE
5598,hasoc_en_5599,Why is Dhoni wearing the glove such a big deal for ICC ? ,HOF,HATE,TIN
3625,hasoc_en_3626,Rain will take all wickets .  .  .  . ,NOT,NONE,NONE
5664,hasoc_en_5665,"No shock !  They could have offered Namaz in locker room or anywhr else ,  why Cricket ground ?  Obviously that puts restriction on others  ( u wont agree )  .  If religion is private affair why showoff and impose ? ",HOF,HATE,UNT
4406,hasoc_en_4407,"There should be only one punishment for  ,  hang them till death in public .  And the supporters of  ( religious or political )  should rot in jail until they become Humans .   ,   ,   & amp ;  all Rape Victims should get justice asap . ",HOF,HATE,UNT
3018,hasoc_en_3019,And is so WEAK he couldnt even serve .  Is such a baby that he had to hide behind Daddys skirts because he was  . ,HOF,OFFN,TIN
917,hasoc_en_918,HP Deskjet Single Function Ink Advantage Printer Rs . 2199 Apply Rs . 300 coupon  ( mrp - 3318 ) ,NOT,NONE,NONE
3512,hasoc_en_3513,"Migrants in Custody at Hospitals Are Treated Like Felons ,  Doctors Say",HOF,PRFN,TIN
1283,hasoc_en_1284,The EU has already said no .  .  This means no deal .  Parliament has already said no .  .  This means Johnson is screwed .  Also why isn ' t Johnson doing interviews . ,NOT,NONE,NONE
4071,hasoc_en_4072,Offering Namaz by Pak in the ground allowed Balidaan Badge by MSD is not allowed ?  We Stand by MS Dhoni Shame on You,NOT,NONE,NONE
1316,hasoc_en_1317,and Soon we await,NOT,NONE,NONE
2081,hasoc_en_2082,And retired porn star Melania too . ,HOF,OFFN,TIN
602,hasoc_en_603,Hear Take Aim at on New Song via,NOT,NONE,NONE
358,hasoc_en_359,Dont think and beat writers understand that the fans dont want Kyrie back and didnt want to trade the world for a one year rental .  Davis going to LA with them giving up major haul is a sign of relief for Celtics fans,HOF,PRFN,TIN
4058,hasoc_en_4059,"is a and ,  Chicago ,  Illinois",HOF,HATE,TIN
377,hasoc_en_378,Matt Gaetz wants to be the conservative AOC .  Take a look at him trying,NOT,NONE,NONE
5374,hasoc_en_5375,Which sports grounds are these ? ,HOF,HATE,TIN
234,hasoc_en_235,And he looks like a bag of guts . ,NOT,NONE,NONE
1724,hasoc_en_1725,They let you tweet from prison ?  !  ?  !  ? ,NOT,NONE,NONE
2942,hasoc_en_2943,let ' s hope rest of matches might play on time,NOT,NONE,NONE
5398,hasoc_en_5399,ends regulations .  SHOCK AS TRUMP SIGNS EXECUTIVE ORDER THAT WILL END MOST REGULATIONS AND OVERSIGHT ON GENETICALLY ENGINEERED FOOD,HOF,PRFN,TIN
4648,hasoc_en_4649,is washed away .  Poor Management . ,HOF,HATE,TIN
1498,hasoc_en_1499,Brexit Boris Johnson,NOT,NONE,NONE
4430,hasoc_en_4431,"Ask the people of Scranton - Wilkes Barre ,  Johnstown  & amp ;  Williamsport in Pennsylvania if their conditions are booming ! Your a lot of hot wind ,  bluster  & amp ;  broken promises Crooked Donald ! ",NOT,NONE,NONE
4177,hasoc_en_4178,COME ON BORIS  !  LAY US AN EGG  !  ! ,HOF,HATE,TIN
5196,hasoc_en_5197,The list of reasons why is one of the most despicable people weve ever seen is endless .  If there is any justice in this world he will die alone in a prison cell . ,HOF,HATE,TIN
5251,hasoc_en_5252,Indian actress dresses are even larger than ground covers . ,NOT,NONE,NONE
3322,hasoc_en_3323,"Save  %  on boAt Rockerz Sports Bluetooth Wireless Earphone .  Click here to buy now for just on  ,  DM us the purchase screenshot  & amp ;  get additional cashback of exclusively from",NOT,NONE,NONE
5597,hasoc_en_5598,as an alternative .  .  . ,HOF,PRFN,UNT
3019,hasoc_en_3020,I seriously feel has gone mad ans lost mental balance .  I never seen any CM in my whole life who goes to protest site and threaten protestors .  Never ever in my life . ,HOF,HATE,TIN
2929,hasoc_en_2930,"do you know you have invited a rapist ,  his name is paresh naik , he works in your Mumbai office ,  check my tweets for his threats . ",HOF,OFFN,TIN
1951,hasoc_en_1952,"Wrong ,  we are fighting for the life of our Nation as it is being torn asunder by a secret invasion led by Russian influences and literal NAZIs . ",NOT,NONE,NONE
2444,hasoc_en_2445,China and other non democratic countries would be laughing at us .   \ n \ nMatter of shame .  \ n \ nTime we elected leaders and not RUFFIANS . ,NOT,NONE,NONE
412,hasoc_en_413,Meanwhile in other punny stories !  !  !  Photo courtesy to,NOT,NONE,NONE
5705,hasoc_en_5706,What a,HOF,PRFN,UNT
949,hasoc_en_950,Humble request to our to take the action against wrong doing of you should resign . ,NOT,NONE,NONE
4318,hasoc_en_4319,"You forgot to thank Satan ,  but Mitch is close enough",HOF,HATE,TIN
5360,hasoc_en_5361,"This is dedicated too the STICK - boy down in the Carolinas  ,  ,  keep stalking  , I love it you ' ll bitch boy , ",HOF,PRFN,TIN
4102,hasoc_en_4103,Boris knew what he was doing avoiding this debate .  Boris knew he would have been exposed and humiliated !  Boris knows .  Boris base knows .  Boris ' s financiers KNOW !  Boris will avoid all these debates and outings .  Why ?  Boris wants a NO DEAL Brexit ! ,HOF,HATE,TIN
460,hasoc_en_461,TruMcP Jr needs to turn himself in !  !  ! ,NOT,NONE,NONE
1827,hasoc_en_1828,"Soooooo you advertise the story on Twitter ?  Brilliant !  !  !  By the way ,  its quite likely you told the Russians ahead of time anyway . ",NOT,NONE,NONE
905,hasoc_en_906,Speaker directs immediate arrest of of three real brothers via,NOT,NONE,NONE
2007,hasoc_en_2008,Karnataka doctor commits suicide at PGIMS Rohtak after denied leave for sister ' s wedding,NOT,NONE,NONE
4596,hasoc_en_4597,"Mamata didi and her goons are terrorising doctors across the state yet no left leaning self - certified liberals are calling it  ' terrorism '  .  Remember ,  the motive is political and target is indiscriminate .  That qualifies as terrorism . ",HOF,OFFN,TIN
2178,hasoc_en_2179,Who ' s your favorite going into the  ? ,NOT,NONE,NONE
3236,hasoc_en_3237,instead of focusing on Dhonis gloves ICC should focus on improving umpiring . ,NOT,NONE,NONE
4858,hasoc_en_4859,"I ' m not upset that you lied to me ,  I ' m upset that from now on I can ' t believe you .   ( Friedrich Nietzsche )  And that goes for the rest of us , ",HOF,HATE,UNT
497,hasoc_en_498,This one is understandable .   ! ,NOT,NONE,NONE
2008,hasoc_en_2009,Do you want to see today like this sir  ? ,NOT,NONE,NONE
5780,hasoc_en_5781,"If we had a basic intelligence test for POTUS ,  would not be infesting our since hes dumber then a rd grader .  attacks Nasa and claims the moon is  ' a part '  of Mars . ",HOF,OFFN,TIN
4383,hasoc_en_4384,Hey He MURDERERS people who disagree with him And that makes him your hero ?  !  ?  WTF .  .  .  . you sad pathetic orange buffoon !  !  ! ,HOF,OFFN,TIN
3792,hasoc_en_3793," |  Understand the Doctor - Patient relationship .  We don ' t differ treatment for any community .  We have a charter of a few demands .  If the demands are met ,  we ' ll call it off in mins :  Dr Priyanshu Sr Resident representative ,  Resident Doctors Association ,  AIIMS",NOT,NONE,NONE
2440,hasoc_en_2441,By such statements you are insulting People of India .  He is elected and selected by us .  You have no right to say such things . ,NOT,NONE,NONE
5201,hasoc_en_5202,"didn ' t staged protests and opposed Yogi when Dr Kafeel was framed and tortured Not for Dr .  But against  ,  they are guns blazing",NOT,NONE,NONE
4320,hasoc_en_4321, -  especially on his BIRTHDAY,HOF,PRFN,TIN
1805,hasoc_en_1806,Doctors singing proudly their new anthem -   '   ?   '   ' Who are we ?  We are outsiders !  ' ,NOT,NONE,NONE
988,hasoc_en_989,IMPEACH DONALD TRUMP . ,HOF,HATE,TIN
5210,hasoc_en_5211, '  only in America  '  would a person who murdered his ex wife be treated like a hero instead of the scumbag he is  .  Fitting that he admires trump  -  the pair of lying psychopaths have a lot in common  . ,HOF,HATE,TIN
5551,hasoc_en_5552,"Of course you would .  .  .  idiots always back up other idiots .  .  .  if you had any sense ,  which clearly is not the case .  You would put the PEOPLE FIRST and call a So WE HAVE THE CHOICE !  !  ! ",HOF,HATE,TIN
2015,hasoc_en_2016,ANNOUNCEMENT to all cricket lovers .  Presentation ceremony is to be conducted on July th to present this prestigious cup to Rain Team .  All are Welcome,NOT,NONE,NONE
4455,hasoc_en_4456,One question .  How come there has not been a drop of rain during england ' s matches ?  All day sunny and bright .  and  .  Scheduled all england matches in accordance to the weather and neglected all other matches .  And ecb can ' t get ground covers .  FUCKOFF,HOF,PRFN,UNT
2308,hasoc_en_2309,Please RT . ,NOT,NONE,NONE
1595,hasoc_en_1596,Points table right now . ,NOT,NONE,NONE
5126,hasoc_en_5127,"President Obamas patriotic policies gave us the greatest economy .  Deranged Donald Trump is destroying our country .  Trump has begun economic wars ,  Trade wars  & amp ;  is now Lying to us to start an Iran War . ",NOT,NONE,NONE
5474,hasoc_en_5475,"Dear  ,  are you yet ?  America needs you in the White House .  Sincerely ,  the United States of America .  Please and thank you",HOF,PRFN,TIN
4808,hasoc_en_4809,"Repellent ,  chaotic and a serial liar ,  Boris Johnson would be a catastrophic prime minister",HOF,OFFN,TIN
4483,hasoc_en_4484,Boris Johnson on Gordon Brown becoming Prime Minister This mans HYPOCRISY is unbelievable,HOF,HATE,TIN
3240,hasoc_en_3241,Becaaauuusssse  .  .  .  thinks to self  * I ' m lying right now * ,NOT,NONE,NONE
772,hasoc_en_773,Rationalizing,NOT,NONE,NONE
3687,hasoc_en_3688,"Russian college drop out ,  fold out model  & amp ;  escort ,  really not even .  .  .  what a laugh to even assume this compares anything but a street walker with as her pimp ! ",HOF,OFFN,TIN
4849,hasoc_en_4850,"Not only in Kolkata my friend .  Take a look at where are raping ,  killing and throwing doctors in the river ! ",HOF,OFFN,UNT
2868,hasoc_en_2869, ?  \ n  \ n  \ n,NOT,NONE,NONE
2509,hasoc_en_2510,Boris cant even debate with Conservative colleagues how will he cope against EU Delegates . ,NOT,NONE,NONE
4434,hasoc_en_4435,booooo .  .  .  Such a disgusting venue .  . ,NOT,NONE,NONE
4220,hasoc_en_4221,should only have incarceration rights . ,HOF,HATE,TIN
5619,hasoc_en_5620,Interviewer -  Why are you beating up the protesting doctors .  They haven ' t done anything wrong .  Policeman - ,HOF,HATE,TIN
1584,hasoc_en_1585,LETS GO,NOT,NONE,NONE
5131,hasoc_en_5132,So now you ' ll have to find someone else to tell your lies,HOF,OFFN,TIN
1236,hasoc_en_1237,Well I laughed . ,NOT,NONE,NONE
3213,hasoc_en_3214, .  Holy SH * T !  !  !  Gotta agree with BOTH you patriots on that  !  Im just gonna leave this here .  .  . ,HOF,PRFN,TIN
922,hasoc_en_923,We are with you,NOT,NONE,NONE
5396,hasoc_en_5397,Trump thinks he can use a Jedi mind trick on all of us .  .  .  . hahahahahaha,HOF,HATE,TIN
5456,hasoc_en_5457,Saved my GB data to watch match and finally found this .  . ,HOF,HATE,TIN
155,hasoc_en_156,"I ' ll type slowly so you can understand .  The GOP originated the request for the Steele dossier before they made trump their nominee .  And Steele is a Brit  ( ally )  ,  not russian  ( adversary )  .  Clinton is not a traitor but is . ",NOT,NONE,NONE
4402,hasoc_en_4403,Ladies and gentlemen I present the overwhelming favourite to be our our next Prime Minister Mr  .  Do we really want a nasty piece of work like him leading us in into  ! ,NOT,NONE,NONE
3103,hasoc_en_3104,People from other Indian states are outsiders to  .  But Bangladeshis are more dear to her than even the insiders . ,HOF,HATE,TIN
3458,hasoc_en_3459,"Hey ,  no strike for some workers ?  at what cost ? ",NOT,NONE,NONE
1651,hasoc_en_1652,We are only demanding what already should be ours  ! ,NOT,NONE,NONE
4079,hasoc_en_4080,Pompeo is the ultimate sycophantic toad . ,HOF,OFFN,TIN
1599,hasoc_en_1600," ,  hope you stand up for and",NOT,NONE,NONE
1509,hasoc_en_1510,"I think in this case I ' d actually take the dinner with schmucks ,  because at least I could fight back ,  get in a few good insults and feel better about myself for it ,  unlike the other scenario you too vividly described . ",HOF,HATE,TIN
46,hasoc_en_47,Hey Trump  !  These lovely ladies got something to tell ya  .  .  .  . ,HOF,PRFN,TIN
294,hasoc_en_295,Understanding the  '  Strike in and Its,NOT,NONE,NONE
1241,hasoc_en_1242,"Give it up Kayleigh !  Trump base may buy what you are selling but most of us who have been paying attention don ' t .  Nice deflection ,  which has always been your signature",NOT,NONE,NONE
4361,hasoc_en_4362,His highness a fugitive like Mohammed Mansoor Ali Khan who has cheated poor Muslim families worth of  $  amount  & amp ;  he is in now Need your intervention they have broken financial backbone of Muslim need your support His Highness,HOF,HATE,TIN
5748,hasoc_en_5749,Another one bites the dust .  .  .  . ,HOF,PRFN,TIN
2838,hasoc_en_2839,"I Told My Girlfriend To Embrace Her Mistake And She Hug Me .  I Think She Didn ' t Understand What I mean O  .  .  .  .  .  .  \ n \ nWarriz Going ,  For Fuck Sake",HOF,PRFN,TIN
1913,hasoc_en_1914,Analysis :  bonkers lines from Trump ' s ABC interview,NOT,NONE,NONE
4721,hasoc_en_4722,And people wonder why the pillock didnt turn up ?  Here ' s the answer .  He ' s an embarrassment . ,HOF,HATE,TIN
3022,hasoc_en_3023,china recently tripled it ' s soybean purchases from Russia .  . i ' m sure you are right about Brazil and South America as well .  . It ' s not coming Back !  ! ,NOT,NONE,NONE
825,hasoc_en_826,"Well ,  we DON ' T ! ",NOT,NONE,NONE
2898,hasoc_en_2899, .  What role did you play in Vote leave breaking the law ?  \ n2 .  Why did you carry on lying about the bus ?  \ n3 .  Why do you think you are fit for any office ?  \ n4 .  Why don ' t you seek help to quit lying ?  \ n5 .  What did you chat to Steve Bannon about ?  \ n6 .  Why did you say fuck business ? ,HOF,PRFN,TIN
5287,hasoc_en_5288,That ' s a time in most women ' s lives when they feel conscious of their size and doing that was belittling her . ,NOT,NONE,NONE
482,hasoc_en_483,Wake up Mark .  Which makes you an accessory .  Remove them from public office .  Save the nation . ,NOT,NONE,NONE
2902,hasoc_en_2903,"Trump names new chief White House liar ,  dissembler and cover - upper . ",HOF,HATE,TIN
1080,hasoc_en_1081,Its  : 43 did i miss it ?  Awwww,NOT,NONE,NONE
3151,hasoc_en_3152,"Lets cut the crap ,  Dems didn ' t pay for the Dossier ,  they paid GPS Fusion ,  an established AMERICAN oppo research firm ,  who found the Dossier who them turned in into the FBI",NOT,NONE,NONE
426,hasoc_en_427,Its better if ICC switches to swimming events they may at least fee for swimming from kids lol,NOT,NONE,NONE
5747,hasoc_en_5748,Since it ' s your birthday,HOF,PRFN,TIN
3302,hasoc_en_3303,Trump doesnt pay his bills  -  he never has and never will  -  u must sue him in court,HOF,HATE,TIN
4528,hasoc_en_4529," .  The time has come to get rid of this  .  He is inviting once again .  Remember ,  when they show you who they are ,  believe them ! ",HOF,OFFN,TIN
5297,hasoc_en_5298,I rather put a pinecone in my eye than watch you ! ,NOT,NONE,NONE
1373,hasoc_en_1374,"After protester interrupts his speech ,  Biden tells crowd :   ' Be nice ,  this is not a Trump rally ' ",NOT,NONE,NONE
3968,hasoc_en_3969,FFS !  What are babbling about now ?  ?  Youre delusional ! ,HOF,OFFN,TIN
4112,hasoc_en_4113,Calling top country for cricket ground themselves But compare the covering th ground with indian grounds,HOF,HATE,TIN
4628,hasoc_en_4629,"You sought information from a foreign adversary that was obtained through illegal hacking ,  different than talking to the Queen . ",HOF,HATE,TIN
4845,hasoc_en_4846,When will you  /  stand up for Doctor community  -  they work without thinking of patients religion  /  caste tirelessly  ( like you they practice sabka Vikas .  .  .  )  shame on you  ! ,HOF,HATE,TIN
96,hasoc_en_97,"Boris Johnson will lie about anything if it gives him an advantage .  In the local elections he was forced to delete a tweet claiming to have just voted .  .  . BUT ,  there were no elections in his area !  This Trump - like compulsive liar just can ' t stop himself .  .  . ",NOT,NONE,NONE
351,hasoc_en_352,"No ,  Donald Trump ,  You Did Not Meet the Prince of Whales .  Aquaman Would Never . ",NOT,NONE,NONE
3005,hasoc_en_3006, |  Doctors '  strike reaches Supreme Court :  Plea filed over safety and security of doctors seeking security at government hospitals and action against assaulters of Kolkata doctor,NOT,NONE,NONE
8,hasoc_en_9,"Thanks for your support !  Wow k .  Graffiti has a massive impact nowadays ,  do not forget to show your own opinion ! ",NOT,NONE,NONE
2013,hasoc_en_2014,Anyone want any carpets taking up let me know Ill send our Reggie hes just done a lovely job in my bedroom,NOT,NONE,NONE
4885,hasoc_en_4886,Amongst Trump University Alumni . ,HOF,HATE,TIN
4706,hasoc_en_4707,Thanks Tuttle .  Honored beyond belief . ,HOF,PRFN,TIN
5772,hasoc_en_5773,So poor managment by icc,NOT,NONE,NONE
1848,hasoc_en_1849,Sometimes karma needs the help of thousands of people on Twitter I guess .  happy,NOT,NONE,NONE
3960,hasoc_en_3961,This is terrifying .  And should be part of the news cycle .  MSM needs to stop salivating over s idiotic speeches  & amp ;  nonsense and hammer him with this policy every time hes in public . ,HOF,HATE,UNT
4767,hasoc_en_4768,Analysis :  Trump lies more often than you wash your hands,NOT,NONE,NONE
4794,hasoc_en_4795,"I sat and laughed at least five minutes .  You gotta call that move the because its not PC to call it the  .  Also ,  the latter wouldnt fit  !  ! ",HOF,PRFN,UNT
1319,hasoc_en_1320,"We are with the doctors of west bengal .  From Bhavnagar ,  Gujrat . ",NOT,NONE,NONE
368,hasoc_en_369,Trump teases additional deal that Mexican Foreign Secretary suggests doesn ' t exist,NOT,NONE,NONE
3238,hasoc_en_3239,I cant watch When They See Us again I get too damn angry and I cry every time throughout the whole series . ,NOT,NONE,NONE
968,hasoc_en_969,Story of Simon Magus in the Bible :  Acts  : 7 - 25 The following are modern - day Simon Magus  (  )  examples :   ' David Blaine Compilation '   .   ' Perfume The Story of a  '   . ,NOT,NONE,NONE
1880,hasoc_en_1881," :   ' we are a nation of laws '  same nuts ,  started building a million waste of money wall ,  that could have been better use to help and  ,  without the proper permits",NOT,NONE,NONE
4138,hasoc_en_4139,"This POS needs to lose his cocky ,  self assured ,  fake smile .  He is the murderer of people ,  and ,  a convicted felon .  How sickening to see his smarmy lounge act yet again . ",HOF,OFFN,TIN
3112,hasoc_en_3113,Lot of fans waited to see how it rains .  .  . Instead of spotting mistakes in gloves .  .  . Show some intrest in maintenance also .  .  . ,HOF,HATE,TIN
112,hasoc_en_113,"Vinay Tewari ,  Consulting Editor :  Global sporting events across the world work on volunteers  & amp ;  I ' m not too sure if is so badly placed that they can ' t hire people as volunteers to push the cover to the ground",NOT,NONE,NONE
1804,hasoc_en_1805,She has lost the political good will Momotah Hatao,NOT,NONE,NONE
569,hasoc_en_570,"Yes .  Thanks Obama for letting Trump inherit a strong economy ,  unlike the devastating economy you inherited in the Great Recession of  . ",NOT,NONE,NONE
2337,hasoc_en_2338,the is the new british raj dictating on the colonies what and what not to wear .  looking at money aspect will bow down to its british raj masters,NOT,NONE,NONE
4753,hasoc_en_4754,You changed your name for an idiot .  Think on that .  GOP  =  Guardians of Putin,HOF,PRFN,TIN
1043,hasoc_en_1044,Pull out of world cup,NOT,NONE,NONE
3691,hasoc_en_3692,Our country deserves better than a draft - dodging coward .  McCain SERVED ;  DIDN ' T .  Happy  !  !  !  Happy  !  !  !  Happy  !  !  ! ,NOT,NONE,NONE
3105,hasoc_en_3106,It is not against any rule of  .  .  .  .  It is a symbol of dedication of a man for his country .  .  .  . ,NOT,NONE,NONE
4979,hasoc_en_4980,Dumbass in Chief at it again with his dumbassery ! ,HOF,PRFN,TIN
4635,hasoc_en_4636,I saw a portapotty full to the top at work today  & amp ;  thought of you trump  & amp ;  I realized something .  The full portapotty has less shit in it than you  & amp ;  it does it ' s job well .  You could learn from that . ,HOF,PRFN,TIN
4312,hasoc_en_4313,should better focus on hiring good umpires rather than eyeing on Dhoni ' s gloves .  . ,HOF,HATE,TIN
